Title,Link,Journal Title,Publication Year,Authors,DOI,Keywords,Citations (in PMC),Citations (Crossref),Citations (OpenAlex),Citations (Semantic Scholar),Influential Citations,Altmetric Score,Mendeley Readers,Social Media Mentions,OpenAlex Concepts,TLDR Summary,Journal Title,Publication Year,Authors,DOI,Keywords,FieldsOfStudy,Citations (in PMC),Citations (Crossref),Citations (OpenAlex),Citations (Semantic Scholar),Influential Citations,Altmetric Score,Mendeley Readers,Social Media Mentions,OpenAlex Concepts,TLDR Summary,Full Text Link
Mice in Bion-M 1 space mission: training and selection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,PLoS ONE,2014.0,"Alexander Andreev-Andrievskiy, Anfisa Popova, Richard Boyle, Jeffrey Alberts, Boris Shenkman, Olga Vinogradova, Oleg Dolgov, Konstantin Anokhin, Darya Tsvirkun, Pavel Soldatov, Tatyana Nemirovskaya, Eugeniy Ilyin, Vladimir Sychev",10.1371/journal.pone.0104830,,,86.0,91.0,94.0,6.0,7.0,55.0,1.0,"Selection (genetic algorithm), Space (punctuation), Computational biology, Computer science, Biology",It is concluded that the training program for mice designated for in vivo studies was effective and that male mice can be successfully employed in space biomedical research.,PLoS ONE,2014.0,"Alexander Andreev-Andrievskiy, Anfisa Popova, Richard Boyle, Jeffrey Alberts, Boris Shenkman, Olga Vinogradova, Oleg Dolgov, Konstantin Anokhin, Darya Tsvirkun, Pavel Soldatov, Tatyana Nemirovskaya, Eugeniy Ilyin, Vladimir Sychev",10.1371/journal.pone.0104830,,"['Biology', 'Medicine']",,86.0,91.0,94.0,6.0,7.0,55,1.0,"Selection (genetic algorithm), Space (punctuation), Computational biology, Computer science, Biology",It is concluded that the training program for mice designated for in vivo studies was effective and that male mice can be successfully employed in space biomedical research.,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0104830&type=printable
"Microgravity induces pelvic bone loss through osteoclastic activity, osteocytic osteolysis, and osteoblastic cell cycle inhibition by CDKN1a/p21",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,PLoS ONE,2013.0,"Elizabeth A. Blaber, Natalya Dvorochkin, Chialing Lee, Joshua S. Alwood, Rukhsana Yousuf, Piero Pianetta, Ruth K. Globus, Brendan P. Burns, Eduardo A. C. Almeida",10.1371/journal.pone.0061372,,,165.0,178.0,178.0,5.0,7.0,165.0,5.0,"Osteolysis, Osteoclast, Bone resorption, Chemistry, Osteoblast","This study offers new evidence for microgravity-induced osteocytic osteolysis, and CDKN1a/p21-mediated osteogenic cell cycle arrest, and indicates that this loss is not limited to osteoclastic degradation.",PLoS ONE,2013.0,"Elizabeth A. Blaber, Natalya Dvorochkin, Chialing Lee, Joshua S. Alwood, Rukhsana Yousuf, Piero Pianetta, Ruth K. Globus, Brendan P. Burns, Eduardo A. C. Almeida",10.1371/journal.pone.0061372,,"['Chemistry', 'Medicine']",,166.0,178.0,178.0,5.0,7.0,165,5.0,"Osteolysis, Osteoclast, Bone resorption, Chemistry, Osteoblast","This study offers new evidence for microgravity-induced osteocytic osteolysis, and CDKN1a/p21-mediated osteogenic cell cycle arrest, and indicates that this loss is not limited to osteoclastic degradation.",https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0061372&type=printable
Stem Cell Health and Tissue Regeneration in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,International Journal of Molecular Sciences,2025.0,"Nelson Adolfo López Garzón, María Virginia Pinzón-Fernández, Jhan S. Saavedra T., Humberto A. Nati-Castillo, Marlon Arias-Intriago, Camila Salazar-Santoliva, Juan S. Izquierdo-Condoy",10.3390/ijms26073058,,,6.0,5.0,6.0,0.0,,,,"Induced pluripotent stem cell, Biology, Stem cell, Regenerative medicine, Reprogramming","Cardiomyocytes derived from human pluripotent stem cells and cultured under microgravity exhibit enhanced mitochondrial biogenesis, improved calcium handling, and advanced structural maturation, including increased sarcomere length and nuclear eccentricity, underscore the dual implications of microgravity for space medicine and terrestrial health.",International Journal of Molecular Sciences,2025.0,"Nelson Adolfo López Garzón, María Virginia Pinzón-Fernández, Jhan S. Saavedra T., Humberto A. Nati-Castillo, Marlon Arias-Intriago, Camila Salazar-Santoliva, Juan S. Izquierdo-Condoy",10.3390/ijms26073058,,['Medicine'],,6.0,5.0,6.0,0.0,,,,"Induced pluripotent stem cell, Biology, Stem cell, Regenerative medicine, Reprogramming","Cardiomyocytes derived from human pluripotent stem cells and cultured under microgravity exhibit enhanced mitochondrial biogenesis, improved calcium handling, and advanced structural maturation, including increased sarcomere length and nuclear eccentricity, underscore the dual implications of microgravity for space medicine and terrestrial health.",https://doi.org/10.3390/ijms26073058
Microgravity Reduces the Differentiation and Regenerative Potential of Embryonic Stem Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,Cells,2021.0,"Takanobu Mashiko, Koji Kanayama, Natsumi Saito, Takako Shirado, Rintaro Asahi, Masanori Mori, Kotaro Yoshimura",10.3390/cells10030560,,,10.0,10.0,6.0,0.0,0.75,13.0,2.0,"SOX2, Homeobox protein NANOG, Stem cell, Mesenchymal stem cell, Cell biology","The preservation of stemness in human adipose-derived stem cells (hASCs) is reported by using microgravity conditions combined with microspheres in a stirred suspension, and it is believed that this novel culturing method may further enhance regenerative therapies using hASCs.",Cells,2021.0,"Takanobu Mashiko, Koji Kanayama, Natsumi Saito, Takako Shirado, Rintaro Asahi, Masanori Mori, Kotaro Yoshimura",10.3390/cells10030560,,['Medicine'],,10.0,10.0,6.0,0.0,0.75,13,2.0,"SOX2, Homeobox protein NANOG, Stem cell, Mesenchymal stem cell, Cell biology","The preservation of stemness in human adipose-derived stem cells (hASCs) is reported by using microgravity conditions combined with microspheres in a stirred suspension, and it is believed that this novel culturing method may further enhance regenerative therapies using hASCs.",https://www.mdpi.com/2073-4409/10/3/560/pdf?version=1615544033
Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,PLOS ONE,2017.0,"Macarena Parra, Jimmy Jung, Travis D. Boone, Luan Tran, Elizabeth A. Blaber, Mark Brown, Matthew Chin, Tori Chinn, Jacob Cohen, Robert Doebler, Dzung Hoang, Elizabeth Hyde, Matthew Lera, Louie T. Luzod, Mark Mallinson, Oana Marcu, Youssef Mohamedaly, Antonio J. Ricco, Kathleen Rubins, Gregory D. Sgarlato, Rafael O. Talavera, Peter Tong, Eddie Uribe, Jeffrey Williams, Diana Wu, Rukhsana Yousuf, Charles S. Richey, Julie Schonfeld, Eduardo A. C. Almeida",10.1371/journal.pone.0183480,,,39.0,40.0,41.0,2.0,11.65,57.0,16.0,"RNA extraction, Multiplex, International Space Station, Real-time polymerase chain reaction, Centrifuge",The WetLab-2 facility now provides a novel operational on-orbit research capability for molecular biology and demonstrates the feasibility of more complex wet bench experiments in the ISS National Lab environment.,PLOS ONE,2017.0,"Macarena Parra, Jimmy Jung, Travis D. Boone, Luan Tran, Elizabeth A. Blaber, Mark Brown, Matthew Chin, Tori Chinn, Jacob Cohen, Robert Doebler, Dzung Hoang, Elizabeth Hyde, Matthew Lera, Louie T. Luzod, Mark Mallinson, Oana Marcu, Youssef Mohamedaly, Antonio J. Ricco, Kathleen Rubins, Gregory D. Sgarlato, Rafael O. Talavera, Peter Tong, Eddie Uribe, Jeffrey Williams, Diana Wu, Rukhsana Yousuf, Charles S. Richey, Julie Schonfeld, Eduardo A. C. Almeida",10.1371/journal.pone.0183480,,"['Materials Science', 'Medicine']",,39.0,40.0,41.0,2.0,11.649999999999999,57,16.0,"RNA extraction, Multiplex, International Space Station, Real-time polymerase chain reaction, Centrifuge",The WetLab-2 facility now provides a novel operational on-orbit research capability for molecular biology and demonstrates the feasibility of more complex wet bench experiments in the ISS National Lab environment.,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0183480&type=printable
Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,International Journal of Molecular Sciences,2021.0,"Akhilesh Kumar, Candice G. T. Tahimic, Eduardo A. C. Almeida, Ruth K. Globus",10.3390/ijms22169088,,,27.0,28.0,22.0,0.0,,,,"Spaceflight, Oxidative stress, Cell biology, Gene, Biology","Cardiac expression levels were altered and the expression of genes regulating redox balance, cell cycle and senescence in cardiac tissue of mice were altered, suggesting spaceflight may contribute to cardiac dysfunction due to oxidative stress.",International Journal of Molecular Sciences,2021.0,"Akhilesh Kumar, Candice G. T. Tahimic, Eduardo A. C. Almeida, Ruth K. Globus",10.3390/ijms22169088,,['Medicine'],,27.0,28.0,22.0,0.0,,,,"Spaceflight, Oxidative stress, Cell biology, Gene, Biology","Cardiac expression levels were altered and the expression of genes regulating redox balance, cell cycle and senescence in cardiac tissue of mice were altered, suggesting spaceflight may contribute to cardiac dysfunction due to oxidative stress.",https://www.mdpi.com/1422-0067/22/16/9088/pdf?version=1629856654
Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,International Journal of Molecular Sciences,2017.0,"Joshua Alwood, Luan Tran, Ann-Sofie Schreurs, Yasaman Shirazi-Fard, Akhilesh Kumar, Diane Hilton, Candice Tahimic, Ruth Globus",10.3390/ijms18102117,,,29.0,30.0,29.0,1.0,3.5,44.0,2.0,"Ionizing radiation, Bone marrow, Oxidative stress, Irradiation, Superoxide dismutase","Either protons or 56Fe at a relatively high dose (200 cGy) caused persistent bone loss, whereas only high-LET 56Fe increased redox-related gene expression, albeit to a limited extent, and inhibited osteoblastogenesis.",International Journal of Molecular Sciences,2017.0,"Joshua Alwood, Luan Tran, Ann-Sofie Schreurs, Yasaman Shirazi-Fard, Akhilesh Kumar, Diane Hilton, Candice Tahimic, Ruth Globus",10.3390/ijms18102117,,"['Chemistry', 'Medicine']",,29.0,30.0,29.0,1.0,3.5,44,2.0,"Ionizing radiation, Bone marrow, Oxidative stress, Irradiation, Superoxide dismutase","Either protons or 56Fe at a relatively high dose (200 cGy) caused persistent bone loss, whereas only high-LET 56Fe increased redox-related gene expression, albeit to a limited extent, and inhibited osteoblastogenesis.",https://www.mdpi.com/1422-0067/18/10/2117/pdf?version=1507644083
From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/,npj Microgravity,2017.0,"Joshua S. Alwood, April E. Ronca, Richard C. Mains, Mark J. Shelhamer, Jeffrey D. Smith, Thomas J. Goodwin", 10.1038/s41526-016-0002-8,,,25.0,29.0,,,,,,"Translational research, Translational medicine, Bench to bedside, Human research, Agency (philosophy)",,npj Microgravity,2017.0,"Joshua S. Alwood, April E. Ronca, Richard C. Mains, Mark J. Shelhamer, Jeffrey D. Smith, Thomas J. Goodwin",10.1038/s41526-016-0002-8,,,,25.0,29.0,2.0,0.0,6.35,47,12.0,"Translational research, Translational medicine, Bench to bedside, Human research, Agency (philosophy)","The overall objective is to help in stimulating a collaborative research across multiple disciplines and entities that, working together, will more effectively and more rapidly achieve NASA’s goals for human spaceflight.",https://www.nature.com/articles/s41526-016-0002-8.pdf
High-precision method for cyclic loading of small-animal vertebrae to assess bone quality.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,Bone Reports,2018.0,"Megan M. Pendleton, Saghi Sadoughi, Alfred Li, Grace D. O'Connell, Joshua S. Alwood, Tony M. Keaveny",10.1016/j.bonr.2018.10.002,,,9.0,11.0,9.0,1.0,,,,"Stiffness, Biomedical engineering, Structural engineering, Finite element method, Machining",This work developed a precise method for ex vivo cyclic compressive loading of isolated mouse vertebral bodies and found reduced scatter of the mechanical behavior for this new method compared to the literature methods.,Bone Reports,2018.0,"Megan M. Pendleton, Saghi Sadoughi, Alfred Li, Grace D. O'Connell, Joshua S. Alwood, Tony M. Keaveny",10.1016/j.bonr.2018.10.002,,"['Materials Science', 'Medicine']",,9.0,11.0,9.0,1.0,,,,"Stiffness, Biomedical engineering, Structural engineering, Finite element method, Machining",This work developed a precise method for ex vivo cyclic compressive loading of isolated mouse vertebral bodies and found reduced scatter of the mechanical behavior for this new method compared to the literature methods.,https://doi.org/10.1016/j.bonr.2018.10.002
Effects of ex vivo ionizing radiation on collagen structure and whole-bone mechanical properties of mouse vertebrae.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,Bone,2019.0,"Megan M. Pendleton, Shannon R. Emerzian, Jennifer Liu, Simon Y. Tang, Grace D. O'Connell, Joshua S. Alwood, Tony M. Keaveny",10.1016/j.bone.2019.115043,,,31.0,32.0,30.0,2.0,,,,"Ex vivo, Ionizing radiation, In vivo, Fragmentation (computing), Irradiation",The reductions in bone compressive monotonic strength and fatigue life due to ex vivo ionizing radiation are more likely caused by fragmentation of the collagen backbone than any increases in non-enzymatic collagen crosslinks.,Bone,2019.0,"Megan M. Pendleton, Shannon R. Emerzian, Jennifer Liu, Simon Y. Tang, Grace D. O'Connell, Joshua S. Alwood, Tony M. Keaveny",10.1016/j.bone.2019.115043,,"['Chemistry', 'Medicine']",,31.0,32.0,30.0,2.0,,,,"Ex vivo, Ionizing radiation, In vivo, Fragmentation (computing), Irradiation",The reductions in bone compressive monotonic strength and fatigue life due to ex vivo ionizing radiation are more likely caused by fragmentation of the collagen backbone than any increases in non-enzymatic collagen crosslinks.,https://www.sciencedirect.com/science/article/am/pii/S875632821930331X
